name,Dest,Origin,ArrDelay_mean,ArrDelay_max,ArrDelay_min,counts,OriginCityName,OriginStateName,DestCityName,DestStateName,orig_lat,orig_lon,dest_lat,dest_lon
Alaska Airlines Inc.,DFW,IAH,-6.211538461538462,63.0,-30.0,52,"Houston, TX",Texas,"Dallas/Fort Worth, TX",Texas,29.9843997955322,-95.3414001464844,32.896801,-97.038002
Alaska Airlines Inc.,SEA,IAH,-4.661577608142494,218.0,-55.0,393,"Houston, TX",Texas,"Seattle, WA",Washington,29.9843997955322,-95.3414001464844,47.449001,-122.308998
Allegiant Air,AVL,HOU,-1.2363636363636363,99.0,-37.0,55,"Houston, TX",Texas,"Asheville, NC",North Carolina,29.64539909,-95.27890015,35.4361991882324,-82.5418014526367
Allegiant Air,PGD,HOU,60.72727272727273,650.0,-36.0,11,"Houston, TX",Texas,"Punta Gorda, FL",Florida,29.64539909,-95.27890015,26.92020035,-81.9905014
Allegiant Air,SAV,HOU,4.045454545454546,127.0,-26.0,44,"Houston, TX",Texas,"Savannah, GA",Georgia,29.64539909,-95.27890015,32.12760162,-81.20210266
Allegiant Air,TYS,HOU,11.925925925925926,157.0,-30.0,54,"Houston, TX",Texas,"Knoxville, TN",Tennessee,29.64539909,-95.27890015,35.81100082,-83.9940033
Allegiant Air,VPS,HOU,21.70212765957447,243.0,-44.0,47,"Houston, TX",Texas,"Valparaiso, FL",Florida,29.64539909,-95.27890015,30.4832,-86.525398
American Airlines Inc.,CLT,IAH,-1.5172413793103448,835.0,-59.0,1131,"Houston, TX",Texas,"Charlotte, NC",North Carolina,29.9843997955322,-95.3414001464844,35.2140007019043,-80.9430999755859
American Airlines Inc.,DFW,IAH,9.060570071258907,1501.0,-42.0,1684,"Houston, TX",Texas,"Dallas/Fort Worth, TX",Texas,29.9843997955322,-95.3414001464844,32.896801,-97.038002
American Airlines Inc.,LAX,IAH,3.316326530612245,898.0,-54.0,98,"Houston, TX",Texas,"Los Angeles, CA",California,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971
American Airlines Inc.,MIA,IAH,-2.226480836236934,1525.0,-42.0,574,"Houston, TX",Texas,"Miami, FL",Florida,29.9843997955322,-95.3414001464844,25.7931995391846,-80.2906036376953
American Airlines Inc.,ORD,IAH,-3.8875739644970415,859.0,-41.0,169,"Houston, TX",Texas,"Chicago, IL",Illinois,29.9843997955322,-95.3414001464844,41.9786,-87.9048
American Airlines Inc.,PHL,IAH,8.1,207.0,-23.0,40,"Houston, TX",Texas,"Philadelphia, PA",Pennsylvania,29.9843997955322,-95.3414001464844,39.871898651123,-75.241096496582
American Airlines Inc.,PHX,IAH,0.5465116279069767,515.0,-32.0,86,"Houston, TX",Texas,"Phoenix, AZ",Arizona,29.9843997955322,-95.3414001464844,33.4342994689941,-112.012001037598
Delta Air Lines Inc.,ATL,HOU,-5.935402684563758,296.0,-36.0,1192,"Houston, TX",Texas,"Atlanta, GA",Georgia,29.64539909,-95.27890015,33.6367,-84.428101
Delta Air Lines Inc.,ATL,IAH,-5.665480427046264,617.0,-43.0,1686,"Houston, TX",Texas,"Atlanta, GA",Georgia,29.9843997955322,-95.3414001464844,33.6367,-84.428101
Delta Air Lines Inc.,DTW,IAH,-9.0,7.0,-15.0,7,"Houston, TX",Texas,"Detroit, MI",Michigan,29.9843997955322,-95.3414001464844,42.2123985290527,-83.353401184082
Delta Air Lines Inc.,JFK,IAH,7.516339869281046,908.0,-39.0,153,"Houston, TX",Texas,"New York, NY",New York,29.9843997955322,-95.3414001464844,40.63980103,-73.77890015
Delta Air Lines Inc.,LGA,IAH,1.4108216432865732,1034.0,-54.0,499,"Houston, TX",Texas,"New York, NY",New York,29.9843997955322,-95.3414001464844,40.77719879,-73.87259674
Delta Air Lines Inc.,MSP,IAH,7.708860759493671,367.0,-43.0,79,"Houston, TX",Texas,"Minneapolis, MN",Minnesota,29.9843997955322,-95.3414001464844,44.882,-93.221802
Delta Air Lines Inc.,SLC,IAH,5.656942823803967,907.0,-45.0,857,"Houston, TX",Texas,"Salt Lake City, UT",Utah,29.9843997955322,-95.3414001464844,40.7883987426758,-111.977996826172
